Season;Azimuth;Angle;PctOnModule
Winter;-180;55;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01164321478874064, 0.11709525374935353, 0.250470492405993, 0.32783641549123527, 0.3321294680501854, 0.33651945937869043, 0.30187627495196734, 0.23727427655454175, 0.1542585927423056, 0.07330428852740614, 0.014520104744509503, 0.0005281854045881602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;60;[0.0012762235839831701, 0.001283235801477583, 0.001283235801477583, 0.001283235801477583, 0.00712439424745121, 0.030611322312983115, 0.12285944341646642, 0.28082849490985, 0.41551606811424685, 0.5142970354672813, 0.5530689799714742, 0.5552876185750399, 0.5182218965688343, 0.45758147269428084, 0.3624672695235112, 0.2501415272514994, 0.1352806668191547, 0.03999561112307295, 0.009593313041972786, 0.001283235801477583, 0.001283235801477583, 0.001283235801477583, 0.001283235801477583, 0.001283235801477583]
Winter;-180;60;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01153800813185648, 0.11761934425145659, 0.2513899112550544, 0.3280116037221593, 0.33104051480729557, 0.3351945521884149, 0.3005132439025548, 0.23613312351495028, 0.15349646193049837, 0.07294980079917253, 0.014276091151985386, 0.0004995956567233114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;65;[0.0012438908153192675, 0.0012507253802386041, 0.0012507253802386041, 0.0012507253802386041, 0.006812793266987273, 0.029726153114840188, 0.10734708990217065, 0.2636608381240012, 0.3969044234928603, 0.4947052135242219, 0.5337518153019648, 0.5365736731396927, 0.5006640756965285, 0.44120798723641114, 0.3482467948837134, 0.23847011494429338, 0.12667579421196323, 0.03628351021968096, 0.00921035001524659, 0.0012507253802386041, 0.0012507253802386041, 0.0012507253802386041, 0.0012507253802386041, 0.0012507253802386041]
Winter;-180;65;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011364066451998436, 0.11740035062341898, 0.25079384585636644, 0.3263158177381836, 0.3281696621399143, 0.3320840578017065, 0.2975582799532455, 0.23372524323415442, 0.15190468959165554, 0.0721914269920193, 0.013955870619323721, 0.0004705188696491476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;70;[0.0012102004300950184, 0.0012168498830076285, 0.0012168498830076285, 0.0012168498830076285, 0.006494281624660034, 0.028811501281761045, 0.0936365017415196, 0.24511462431727987, 0.37617449144654813, 0.47247135622713804, 0.511630582279235, 0.5150850201019835, 0.4805237411767712, 0.42260511365575487, 0.3323227428859833, 0.22569208467952598, 0.11755802387141238, 0.034285412697838795, 0.008816232749757362, 0.0012168498830076285, 0.0012168498830076285, 0.0012168498830076285, 0.0012168498830076285, 0.0012168498830076285]
Winter;-180;70;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011122677622445202, 0.11643913184820459, 0.24868972391102268, 0.32276265865584947, 0.3235366629413275, 0.3272089939245291, 0.29303108265212696, 0.23006683411305875, 0.14949398184198906, 0.07103418631120091, 0.013561809926812874, 0.0004392022226217816, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;75;[0.0011754073208380866, 0.0011818656028207135, 0.0011818656028207135, 0.0011818656028207135, 0.006167009990644075, 0.02786882821126772, 0.08559902949507707, 0.22531072214921805, 0.3534459216358028, 0.4477106874538093, 0.48681440127924064, 0.49092705489576477, 0.45790360419759524, 0.40187542188659214, 0.3147922132437305, 0.2118927249917508, 0.10799429244310349, 0.03279153109524417, 0.008411445796876721, 0.0011818656028207135, 0.0011818656028207135, 0.0011818656028207135, 0.0011818656028207135, 0.0011818656028207135]
Winter;-180;75;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010816261171275232, 0.11474390514433595, 0.24508809652200508, 0.31737383252817025, 0.31716933128633135, 0.3205983641605243, 0.2869591447690832, 0.22518085882610267, 0.1462771852080768, 0.06948973173166598, 0.013096823498073331, 0.00040578214115882013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
Summer;-180;80;[0.0011397750574480567, 0.0011460375577637054, 0.0011460375577637054, 0.0011460375577637054, 0.005835574436835008, 0.026906913323216434, 0.07950016643075945, 0.2043808145076151, 0.32885323163460467, 0.4205553983409546, 0.4594295176538738, 0.4642218913273337, 0.43292224712414273, 0.37913599223189864, 0.29576406793102955, 0.19716544445875286, 0.09805480215293534, 0.03151770499412077, 0.008002223021776743, 0.0011460375577637054, 0.0011460375577637054, 0.0011460375577637054, 0.0011460375577637054, 0.0011460375577637054]
Winter;-180;80;[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01044897504047925, 0.11232596673206402, 0.24001064967676086, 0.3101791431171887, 0.30910355048479204, 0.3122891758826285, 0.2793777486189682, 0.21909935469159916, 0.1422781947104629, 0.06756560885801016, 0.012564353779731688, 0.00037051153583114266, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
